genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,popularity,is_hit
hip-hop,0.5293132590312756,0.5151527707249589,C,-14.111369585793584,minor,0.19913188970676074,0.4101894841652687,0.1265737375256896,0.5387354185400599,0.8393711192004579,132.01145972995607,60000.0,4,78,1
jazz,0.7045826587776665,0.879963092186358,F,-24.91717479112655,major,0.07801152223207695,0.06945173159726134,0.20276356318390573,0.12032533052616542,0.7070266586558518,129.01039697031018,141258.849556827,4,72,0
r&b,0.6805002188128345,0.6654459745744188,D,-14.993320662430461,minor,0.05312118052677678,0.12172306078716899,0.08748012918642861,0.14325219151699514,0.26965384917203195,101.49528793724615,291362.3755095968,4,86,1
edm,0.8431339378271324,0.5978910769170465,D,-9.227881968309049,minor,0.02191136774714806,0.35841472024757476,0.02324969926814977,0.14586336884204643,0.7585007228928436,72.16702197943968,269178.1570119895,4,77,1
pop,0.8335332385816158,0.4362013032717421,G,-8.589743564493375,major,0.5027133484962382,0.5601552097728161,0.08871292829774355,0.12115728462850273,0.6683083203555754,124.93581839020311,115748.25447787034,4,91,1
pop,0.8750630276765656,0.509450508106589,F#,-23.537895119385645,minor,0.2219169290044796,0.10951131118427469,0.1307174647815099,0.07608134587729623,0.6482845086803303,106.61691586873108,243739.82160396673,4,80,1
pop,0.5381657745150306,0.5846492971230235,F#,-22.114323420384345,major,0.2808417305611046,0.3193393924793701,0.06814401661814717,0.11600196415833337,0.6018850664311913,121.42502537828516,202663.1731908979,4,74,0
indie,0.7068982341978934,0.7006835532329589,F,-10.573786927657897,major,0.05984248541290773,0.11153152602526382,0.019354422363806377,0.2002878661637084,0.6246810275353935,112.85960576348444,395771.98272945377,4,78,1
edm,0.8085695970810396,0.6550482609006036,D,-24.74310193262473,minor,0.08649124951064757,0.39836474611360656,0.06396423588605187,0.15220547611006527,0.3789753755678164,124.94953870867673,196131.12374673897,5,87,1
r&b,0.8046661596949083,0.361407787198608,B,-9.805631143293994,major,0.0486821506355927,0.2675923375527655,0.04407037250311638,0.20329631530664957,0.2587187873597601,82.68740364748146,119309.71147802012,4,72,0
